Answer,Description,Specific Type,General Type
geography_of_bulgaria,"Bulgaria is a country situated in south-eastern Europe, bordering Romania, Serbia, the Republic of Macedonia, Greece, Turkey and the Black Sea. Its northern border with Romania follows the Danube river until Silistra. The land area of Bulgaria is 110,550 square kilometres, slightly larger than that of Iceland or the U.S. state of Tennessee. The country is situated on the west coast of the Black Sea, with Romania to the north, Greece and Turkey to the south, and Serbia and Macedonia to the west. Considering its small size, Bulgaria has a great variety of topographical features. Even within small parts of the country, the land may be divided into plains, plateaus, hills, mountains, basins, gorges, and deep river valleys. The geographic center of Bulgaria is located in Uzana.
Bulgaria features notable diversity with the landscape ranging from the Alpine snow-capped peaks in Rila, Pirin and the Balkan Mountains to the mild and sunny Black Sea coast; from the typically continental Danubian Plain in the north to the strong Mediterranean climatic influence in the valleys of Macedonia and in the lowlands in the southernmost parts of Thrace.",,
robie_house,"The Frederick C. Robie House is a U.S. National Historic Landmark on the campus of the University of Chicago in the neighborhood of Hyde Park in Chicago, Illinois, at 5757 S. Woodlawn Avenue on the South Side. It was designed and built between 1908 and 1910 by architect Frank Lloyd Wright and is renowned as the greatest example of the Prairie School style, the first architectural style that was uniquely American. It was designated a National Historic Landmark on November 27, 1963 and was on the very first National Register of Historic Places list of October 15, 1966.",Prairie School Structure,"m,058hd3"
carthage,"The city of Carthage is a city in Tunisia and was the centre of the ancient Carthaginian civilization. The city developed from a Phoenician colony of the 1st millennium BC into the capital of an ancient empire. The area of Carthage was before inhabited by Berber people who also became the bulk of Carthage's population and constituted a significant part of its army, economy and administration. Native Berbers and settling Phoenicians in Carthage mixed in different ways including religion and language, creating the Punic language and culture.
The name of Carthage, Latin: Carthago or Karthago, Ancient Greek: Καρχηδών Karkhēdōn, Etruscan: *Carθaza, is derived from the Phoenician Qart-ḥadašt meaning ""New City"", implying it was a 'new Tyre'.
The first civilization that developed within the city's sphere of influence is referred to as Punic or Carthaginian. The city of Carthage is located on the eastern side of Lake Tunis across from the centre of Tunis. According to Greek historians, Carthage was founded by Canaanite-speaking Phoenician colonists from Tyre under the leadership of Queen Elissa or Dido. It became a large and rich city and thus a major power in the Mediterranean.",City/Town/Village,"location,citytown"
angular_momentum,"In physics, angular momentum, moment of momentum, or rotational momentum is a measure of the amount of rotation an object has, taking into account its mass, shape and speed. It is a vector quantity that represents the product of a body's rotational inertia and rotational velocity about a particular axis. The angular momentum of a system of particles is the sum of angular momenta of the individual particles. For a rigid body rotating around an axis of symmetry, the angular momentum can be expressed as the product of the body's moment of inertia, I, and its angular velocity, ω.
In this way, angular momentum is sometimes described as the rotational analog of linear momentum.
For the case of an object that is small compared with the radial distance to its axis of rotation, such as a rubber ball swinging from a long string or a planet orbiting in an ellipse around the Sun, the angular momentum can be approximated as the cross product of its linear momentum, mv, and its position relative to the point about which it is rotating, r. Thus, the angular momentum, L, of a particle with respect to some point of origin is as follows.",Dimension,"measurement unit,dimension"
somatostatin,"Expressed primarily by human SST Gene (Somatostatin Family) in the hypothalamic median eminence and in pancreatic delta cells, secreted 116-aa 13-kDa (precursor) Somatostatin is an important cyclic tetradecapeptide regulator of endocrine and nervous system function. Somatostatin inhibits release of adenohypophyseal GH, thyrotropin, and corticotropin, pancreatic insulin and glucagon, gastric mucosal gastrin, intestinal mucosal secretin, and renal renin by binding to specific high-affinity cell surface G protein-coupled receptors expressed in a tissue-specific manner. (NCI)",Hormone,"medicine,hormone"
somatostatin,"Somatostatin or somatotropin release-inhibiting hormone is a peptide hormone that regulates the endocrine system and affects neurotransmission and cell proliferation via interaction with G protein-coupled somatostatin receptors and inhibition of the release of numerous secondary hormones. Somatostatin inhibits insulin and glucagon secretion.
Somatostatin has two active forms produced by alternative cleavage of a single preproprotein: one of 14 amino acids, the other of 28 amino acids.
In all vertebrates, there exist six different somatostatin genes that have been named SS1, SS2, SS3, SS4, SS5, and SS6. The six different genes along with the five different somatostatin receptors allows somatostatin to possess a large range of functions. Humans have only one somatostatin gene, SST.",Hormone,"medicine,hormone"
pyruvic_acid,"Pyruvic acid is an organic acid, has a carboxylic acid and a ketone functional group, and is the simplest of the alpha-keto acids. The carboxylate anion of pyruvic acid, its Brønsted–Lowry conjugate base, CH₃COCOO−, is known as pyruvate, and is a key intersection in several metabolic pathways.
Pyruvic acid can be made from glucose through glycolysis, converted back to carbohydrates via gluconeogenesis, or to fatty acids through acetyl-CoA. It can also be used to construct the amino acid alanine and be converted into ethanol.
Pyruvic acid supplies energy to living cells through the citric acid cycle when oxygen is present, and alternatively ferments to produce lactate when oxygen is lacking.",Chemical Compound,"chemistry,chemical compound"
kangaroo,"The kangaroo is a marsupial from the family Macropodidae. In common use the term is used to describe the largest species from this family, especially those of the genus Macropus, red kangaroo, antilopine kangaroo, eastern grey kangaroo and western grey kangaroo. Kangaroos are endemic to Australia, and one genus, the tree-kangaroo, is also found in Papua New Guinea. The Australian government estimates that 34.3 million kangaroos lived in Australia in 2011, up from 25.1 million one year earlier.
Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like most marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.
Larger kangaroos have adapted much better than smaller macropods to land clearing for pastoral agriculture and habitat changes brought to the Australian landscape by humans. Many of the smaller species are rare and endangered, whilst the larger kangaroos are relatively plentiful.",Animal,"biology,animal"
myosin,"Myosins comprise a family of ATP-dependent motor proteins and are best known for their role in muscle contraction and their involvement in a wide range of other eukaryotic motility processes. They are responsible for actin-based motility. The term was originally used to describe a group of similar ATPases found in striated and smooth muscle cells. Following the discovery by Pollard and Korn of enzymes with myosin-like function in Acanthamoeba castellanii, a large number of divergent myosin genes have been discovered throughout eukaryotes. Thus, although myosin was originally thought to be restricted to muscle cells, there is no single ""myosin"" but rather a huge superfamily of genes whose protein products share the basic properties of actin binding, ATP hydrolysis, and force transduction. Virtually all eukaryotic cells contain myosin isoforms. Some isoforms have specialized functions in certain cell types, while other isoforms are ubiquitous. The structure and function of myosin is strongly conserved across species, to the extent that rabbit muscle myosin II will bind to actin from an amoeba.",,
main_(river),"The Main is a river in Germany. With a length of 527 km, it is the longest right tributary of the Rhine, and the longest river lying entirely in Germany.",River,"geography,river"
ukraine,"Ukraine is a country in Eastern Europe. It has an area of 603,628 km², making it the largest country entirely within Europe. Ukraine borders Russia to the east and northeast, Belarus to the northwest, Poland, Slovakia and Hungary to the west, Romania and Moldova to the southwest, and the Black Sea and Sea of Azov to the south and southeast, respectively.
In the Middle Ages, the area became the key center of East Slavic culture, as epitomized by the powerful state of Kievan Rus'. Following its fragmentation in the 13th century, the territory of the present day Ukraine was contested, ruled and divided by a variety of powers, including Lithuania, Poland, Ottoman Empire, Austro-Hungary, and Russia. A Cossack republic emerged and prospered during the 17th and 18th centuries, but Ukraine remained otherwise divided until its consolidation into a Soviet republic in the 20th century, becoming an independent state only in 1991.
Ukraine has long been a global breadbasket because of its extensive, fertile farmlands. In 2011, it was the world's third-largest grain exporter with that year's harvest being much larger than average.",Country,"location,country"
ukraine,"Ukraine (English pronunciation /juːˈkreɪn/; Ukrainian: Україна, Ukrayina, /ukrɑˈjinɑ/) is a country in Eastern Europe. It borders Russia to the east, Belarus to the north, Poland, Slovakia and Hungary to the west, Romania and Moldova to the southwest, and the Black Sea and the Sea of Azov to the south. Thecity of Kiev (Kyiv) is the country's capital.FlagHistoryDemographicsGovernmentEconomyConstitutionMilitaryPoliticsPresidentPrime MinisterCabinet of MinistersSports",Country,"location,country"
cistercians,"A Cistercian is a member of the Cistercian Order, a Catholic religious order of monks and nuns. They are variously called the Bernardines, after the highly influential St. Bernard of Clairvaux (though the term is also used of the Franciscan Order in Poland and Lithuania), or the White Monks, in reference to the colour of the ""cuccula"" or white choir robe worn by the Cistercians over their habits, -as opposed to the black cucculas worn by the Benedictine monks. The original emphasis of Cistercian life was on manual labour and self-sufficiency, and many abbeys have traditionally supported themselves through activities such as agriculture and brewing ales. Over the centuries, however, education and academic pursuits came to dominate the life of their monasteries. A reform movement seeking a simpler lifestyle started in 17th-century France at La Trappe Abbey, which led to development of the Order of Cistercians of the Strict Observance (OCSO), commonly called the Trappists. After that the followers of the older pattern of life became known as the Cistercians of the Original Observance.",Religious order,"religion,religious order"
she_stoops_to_conquer,"She Stoops to Conquer is a comedy by Irish author Oliver Goldsmith that was first performed in London in 1773. The play is a favourite for study by English literature and theatre classes in Britain and the United States. It is one of the few plays from the 18th century to have an enduring appeal, and is still regularly performed today. It has been adapted into a film several times, including in 1914 and 1923. Initially the play was titled Mistakes of a Night, and indeed, the events within the play take place in one long night. In 1778 John O'Keeffe wrote a loose sequel, Tony Lumpkin in Town.",Book,"m,01xryvm"
el_amor_brujo,"El amor brujo is a piece of music originally composed by Manuel de Falla for a chamber group, then re-scored as a symphonic suite, and eventually as a ballet. The texts were by Gregorio Martínez Sierra.
The work is distinctively Andalusian in character with the songs in the Andalusian Spanish dialect of the Gypsies. The music contains moments of remarkable beauty and originality; it includes the celebrated ""Danza ritual del fuego"", ""Canción del fuego fatuo"" and the ""Danza del terror"".",Ballet,"m,021dvj"
doxology,"A doxology is a short hymn of praises to God in various Christian worship services, often added to the end of canticles, psalms, and hymns. The tradition derives from a similar practice in the Jewish synagogue, where some version of the Kaddish serves to terminate each section of the service.",,
volt,"The volt is the derived unit for electric potential, electric potential difference, and electromotive force. The volt is named in honour of the Italian physicist Alessandro Volta, who invented the voltaic pile, possibly the first chemical battery.",Unit of Potential,"measurement unit,potential unit"
battle_of_culloden,"The Battle of Culloden was the final confrontation of the 1745 Jacobite Rising. On 16 April 1746, the Jacobite forces of Charles Edward Stuart fought loyalist troops commanded by William Augustus, Duke of Cumberland near Inverness in the Scottish Highlands. The Hanoverian victory at Culloden decisively halted the Jacobite intent to overthrow the House of Hanover and restore the House of Stuart to the British throne; Charles Stuart never mounted any further attempts to challenge Hanoverian power in Great Britain. The conflict was the last pitched battle fought on British soil.
Charles Stuart's Jacobite army consisted largely of Scottish Highlanders, as well as a number of Lowland Scots and a small detachment of Englishmen from the Manchester Regiment. The Jacobites were supported and supplied by the Kingdom of France from Irish and Scots units in the French service. A composite battalion of infantry comprising detachments from each of the regiments of the Irish Brigade plus one squadron of Irish cavalry in the French army served at the battle alongside the regiment of Royal Scots raised the previous year to support the Stuart claim.",Military Conflict,"military,military conflict"
pentecost,"Pentecost is the Greek name for the Feast of Weeks, a prominent feast in the calendar of ancient Israel celebrating the giving of the Law on Sinai. This feast is still celebrated in Judaism as Shavuot. Later, in the Christian liturgical year, it became a feast commemorating the descent of the Holy Spirit upon the Apostles and other followers of Jesus Christ, as described in the Acts of the Apostles 2:1–31. For this reason, Pentecost is sometimes described by some Christians today as the ""Birthday of the Church"".
In the Eastern church, Pentecost can also refer to the whole fifty days between Easter and Pentecost, hence the book containing the liturgical texts for Paschaltide is called the Pentecostarion. The feast is also called White Sunday, or Whitsunday, especially in England, where the following Monday was traditionally a public holiday. Pentecost is celebrated fifty days after Easter Sunday, hence its name. Pentecost falls on the tenth day after Ascension Thursday.
The Pentecostal movement of Christianity derives its name from the New Testament event.",Holiday,"time,holiday"
creon,"Creon is a figure in Greek mythology best known as the ruler of Thebes in the legend of Oedipus. He had four sons and three daughters with his wife, Eurydice: Henioche, Pyrrha, Megareus, Lycomedes and Haemon. Creon and his sister, Jocasta, were descendants of Cadmus and of the Spartoi. He is sometimes considered to be same person who purified Amphitryon of the murder of his uncle Electryon and father of Megara, first wife of Heracles.",Theater Character,"theater,theater character"
psoriasis,"Psoriasis, is a common, chronic, relapsing/remitting, immune-mediated skin disease characterized by red, scaly patches, papules, and plaques, which usually itch. The skin lesions seen in psoriasis may vary in severity from minor localized patches to complete body coverage. The disease affects 2–4% of the general population.
The five main types of psoriasis are plaque, guttate, inverse, pustular, and erythrodermic. Plaque psoriasis, the most common form, typically manifests as red and white scaly patches on the top layer of the skin. Skin cells rapidly accumulate at these plaque sites and create a silvery-white appearance. Plaques frequently occur on the skin of the elbows and knees, but can affect any area, including the scalp, palms of hands, and soles of feet, and genitals. In contrast to eczema, psoriasis is more likely to be found on the outer side of the joint. Fingernails and toenails are frequently affected and can be seen as an isolated sign. Inflammation of the joints, known as psoriatic arthritis, affects up to 30% of individuals with psoriasis.",Disease or medical condition,"medicine,disease"
penis,"A penis is the primary sexual organ that male and hermaphrodite animals use to inseminate sexually receptive mates during copulation. Such organs occur in many animals, both vertebrate and invertebrate, but males do not bear a penis in every animal species, and in those species in which the male does bear a so-called penis, the penes in the various species are not necessarily homologous. For example, the penis of a mammal is at most analogous to the penis of a male insect or barnacle.
The term penis applies to many reproductive intromittent organs, but not to all; for example the intromittent organ of most cephalopoda is the hectocotylus, a specialised arm, and male spiders use their pedipalps. Even within the Vertebrata there are morphological variants with specific terminology, such as hemipenes.
In most species of animals in which there is an organ that might reasonably be described as a penis, it has no major function other than intromission, or at least conveying the sperm to the female, but in the placental mammals the penis bears the distal part of the urethra, which discharges both urine during urination and semen during copulation as the occasion requires.",Anatomical structure,"medicine,anatomical structure"
petrarch,"Petrarch, was a British Thoroughbred racehorse and sire who won two British Classic Races in 1876. In a career that lasted from October 1875 to October 1878 he ran sixteen times and won eight races. In 1875, Petrarch won the Middle Park Stakes on his only appearance of the season. As a three-year-old in 1876 he won two of the three races which comprise the Triple Crown, taking the 2000 Guineas at Newmarket and the St Leger at Doncaster. He finished unplaced when favourite for the Epsom Derby. As a four-year-old he won three races including the two and a half mile Ascot Gold Cup which at that time was regarded as the most important weight-for-age race in the world. Petrarch was regarded by contemporary experts as a brilliant, but inconsistent performer. After winning once as a five-year-old in 1878 he was retired to stud where he became a successful sire of winners.",Organism,"biology,organism"
the_mikado,"The Mikado; or, The Town of Titipu is a comic opera in two acts, with music by Arthur Sullivan and libretto by W. S. Gilbert, their ninth of fourteen operatic collaborations. It opened on 14 March 1885, in London, where it ran at the Savoy Theatre for 672 performances, which was the second longest run for any work of musical theatre and one of the longest runs of any theatre piece up to that time. Before the end of 1885, it was estimated that, in Europe and America, at least 150 companies were producing the opera. The Mikado remains the most frequently performed Savoy Opera, and it is especially popular with amateur and school productions. The work has been translated into numerous languages and is one of the most frequently played musical theatre pieces in history.
Setting the opera in Japan, an exotic locale far away from Britain, allowed Gilbert to satirise British politics and institutions more freely by disguising them as Japanese. Gilbert used foreign or fictional locales in several operas, including The Mikado, Princess Ida, The Gondoliers, Utopia, Limited and The Grand Duke, to soften the impact of his pointed satire of British institutions.",Opera,"opera,opera"
madame_bovary,"Madame Bovary is the French writer Gustave Flaubert's debut novel. The story focuses on a doctor's wife, Emma Bovary, who has adulterous affairs and lives beyond her means in order to escape the banalities and emptiness of provincial life. Though the basic plot is rather simple, even archetypal, the novel's true art lies in its details and hidden patterns. Flaubert was a notorious perfectionist and claimed always to be searching for le mot juste.
When it was first serialized in La Revue de Paris between 1 October 1856 and 15 December 1856, the novel was attacked for obscenity by public prosecutors. The resulting trial, held in January 1857, made the story notorious. After Flaubert's acquittal on 7 February 1857, Madame Bovary became a bestseller when it was published as a single volume in April 1857. The novel is now considered Flaubert's masterpiece, as well as a seminal work of realism and one of the most influential novels ever written. In fact, the notable British-American critic James Wood writes in How Fiction Works: ""Flaubert established for good or ill, what most readers think of as modern realist narration, and his influence is almost too familiar to be visible"".",Novel,"m,05hgj"
alcohol_dehydrogenase,"Alcohol dehydrogenases are a group of dehydrogenase enzymes that occur in many organisms and facilitate the interconversion between alcohols and aldehydes or ketones with the reduction of nicotinamide adenine dinucleotide. In humans and many other animals, they serve to break down alcohols that otherwise are toxic, and they also participate in generation of useful aldehyde, ketone, or alcohol groups during biosynthesis of various metabolites. In yeast, plants, and many bacteria, some alcohol dehydrogenases catalyze the opposite reaction as part of fermentation to ensure a constant supply of NAD⁺.",Protein,"biology,protein"
rio_de_janeiro,"Rio de Janeiro, or simply Rio, is the second largest city in Brazil, the sixth largest city in the Americas and the world's thirty-fifth largest city by population. The metropolis is anchor to the Rio de Janeiro metropolitan area, ranked as the second most populous metropolitan area in Brazil, the sixth most populous in the Americas and the eighteenth largest in the world. Rio de Janeiro is the capital of the state of Rio de Janeiro, Brazil's third most populous state. Part of the city has been designated as a World Heritage Site, named ""Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea"", identified by UNESCO on 1 July 2012 in the category Cultural Landscape.
Founded in 1565 by the Portuguese, the city was initially the seat of the Captaincy of Rio de Janeiro, a captaincy of the Portuguese Empire. Later, in 1763, it became the capital of the State of Brazil, a State of the Portuguese Empire.",Administrative Division,"location,administrative division"
marginal_utility,"In economics, the marginal utility of a good or service is the gain from an increase, or loss from a decrease, in the consumption of that good or service. Economists sometimes speak of a law of diminishing marginal utility, meaning that the first unit of consumption of a good or service yields more utility than the second and subsequent units, with a continuing reduction for greater amounts. The marginal decision rule states that a good or service should be consumed at a quantity at which the marginal utility is equal to the marginal cost.",,
elegy_written_in_a_country_churchyard,"Elegy Written in a Country Churchyard is a poem by Thomas Gray, completed in 1750 and first published in 1751. The poem’s origins are unknown, but it was partly inspired by Gray’s thoughts following the death of the poet Richard West in 1742. Originally titled Stanza's Wrote in a Country Church-Yard, the poem was completed when Gray was living near St Giles' parish church at Stoke Poges. It was sent to his friend Horace Walpole, who popularised the poem among London literary circles. Gray was eventually forced to publish the work on 15 February 1751, to pre-empt a magazine publisher from printing an unlicensed copy of the poem.
The poem is an elegy in name but not in form; it employs a style similar to that of contemporary odes, but it embodies a meditation on death, and remembrance after death. The poem argues that the remembrance can be good and bad, and the narrator finds comfort in pondering the lives of the obscure rustics buried in the churchyard. The two versions of the poem, Stanzas and Elegy, approach death differently; the first contains a stoic response to death, but the final version contains an epitaph which serves to repress the narrator's fear of dying.",Book,"book,book"
apollo_11,"Apollo 11 was the spaceflight that landed the first humans on the Moon, Americans Neil Armstrong and Buzz Aldrin, on July 20, 1969, at 20:18 UTC. Armstrong became the first to step onto the lunar surface six hours later on July 21 at 02:56 UTC. Armstrong spent about two and a half hours outside the spacecraft, Aldrin slightly less, and together they collected 47.5 pounds of lunar material for return to Earth. The third member of the mission, Michael Collins, piloted the command spacecraft alone in lunar orbit until Armstrong and Aldrin returned to it just under a day later for the trip back to Earth.
Launched by a Saturn V rocket from Kennedy Space Center in Merritt Island, Florida, on July 16, Apollo 11 was the fifth manned mission of NASA's Apollo program. The Apollo spacecraft had three parts: a Command Module with a cabin for the three astronauts, and the only part that landed back on Earth; a Service Module, which supported the Command Module with propulsion, electrical power, oxygen, and water; and a Lunar Module for landing on the Moon.",Space Mission,"spaceflight,space mission"
mycenae,"Mycenae is an archaeological site in Greece, located about 90 kilometres southwest of Athens, in the north-eastern Peloponnese. Argos is 11 kilometres to the south; Corinth, 48 kilometres to the north. From the hill on which the palace was located, one can see across the Argolid to the Saronic Gulf.
In the second millennium BC, Mycenae was one of the major centres of Greek civilization, a military stronghold which dominated much of southern Greece. The period of Greek history from about 1600 BC to about 1100 BC is called Mycenaean in reference to Mycenae. At its peak in 1350 BC, the citadel and lower town had a population of 30,000 and an area of 32 hectares.",World Heritage Site,"m,0c7g7"
triptychs_by_francis_bacon,"The Irish-born artist Francis Bacon painted 28 known triptychs between 1944 and 1986. He began to work in the format in the mid-1940s with a number of smaller scale formats before graduating in 1962 to large examples. He followed the larger style for 30 years, although he painted a number of smaller scale triptychs of friend's heads, and after the death of his former lover George Dyer in 1971, the three acclaimed ""Black Triptychs"".",,
arles,"Arles is a city and commune in the south of France, in the Bouches-du-Rhône department, of which it is a subprefecture, in the former province of Provence.
A large part of the Camargue is located on the territory of the commune, making it the largest commune in Metropolitan France in terms of territory. The city has a long history, and was of considerable importance in the Roman province of Gallia Narbonensis. The Roman and Romanesque Monuments of Arles were listed as UNESCO World Heritage Sites in 1981. The Dutch post-Impressionist painter Vincent van Gogh lived in Arles in 1888–1889 and produced over 300 paintings and drawings during his time there. An international photography festival has been held in the city since 1970.",City/Town/Village,"location,citytown"
nestorianism,"Nestorianism is a Christological doctrine advanced by Nestorius, Patriarch of Constantinople from 428–431. The doctrine, which was informed by Nestorius' studies under Theodore of Mopsuestia at the School of Antioch, emphasizes the disunion between the human and divine natures of Jesus. Nestorius' teachings brought him into conflict with some other prominent church leaders, most notably Cyril of Alexandria, who criticized especially his rejection of the title Theotokos for the Virgin Mary. Nestorius and his teachings were eventually condemned as heretical at the First Council of Ephesus in 431 and the Council of Chalcedon in 451, leading to the Nestorian Schism in which churches supporting Nestorius broke with the rest of the Christian Church. Afterward many of Nestorius' supporters relocated to Sassanid Persia, where they affiliated with the local Christian community, known as the Church of the East. Over the next decades the Church of the East became increasingly Nestorian in doctrine, leading it to be known alternately as the Nestorian Church.
Nestorianism is a form of dyophysitism, and can be seen as the antithesis to monophysitism, which emerged in reaction to Nestorianism.",Religion,"religion,religion"
hagia_sophia,"Hagia Sophia is a former Greek Orthodox patriarchal basilica, later an imperial mosque, and now a museum in Istanbul, Turkey. From the date of its construction in 537 until 1453, it served as an Eastern Orthodox cathedral and seat of the Patriarchate of Constantinople, except between 1204 and 1261, when it was converted to a Roman Catholic cathedral under the Latin Empire. The building was a mosque from 29 May 1453 until 1931. It was then secularized and opened as a museum on 1 February 1935.
The church was dedicated to the Wisdom of God, the Logos, the second person of the Holy Trinity, its patronal feast taking place on 25 December, the commemoration of the birth of the incarnation of the Logos in Christ. Although sometimes referred to as Sancta Sophia, sophia being the phonetic spelling in Latin of the Greek word for wisdom, its full name in Greek is Ναός τῆς Ἁγίας τοῦ Θεοῦ Σοφίας, ""Shrine of the Holy Wisdom of God"". Famous in particular for its massive dome, it is considered the epitome of Byzantine architecture and is said to have ""changed the history of architecture"".",Byzantine Structure,"m,01sqnx"
epistasis,"Epistasis is a phenomenon that consists of the effect of one gene being dependent on the presence of one or more 'modifier genes'. Similarly, epistatic mutations have different effects in combination than individually. It was originally a concept from genetics but is now used in biochemistry, population genetics, computational biology and evolutionary biology. It arises due to interactions, either between genes, or within them leading to non-additive effects. Epistasis has a large influence on the shape of evolutionary landscapes which leads to profound consequences for evolution and evolvability of traits.",,
carmina_burana_(orff),"Carmina Burana is a scenic cantata composed by Carl Orff in 1935 and 1936, based on 24 poems from the medieval collection Carmina Burana. Its full Latin title is Carmina Burana: Cantiones profanæ cantoribus et choris cantandæ comitantibus instrumentis atque imaginibus magicis. Carmina Burana is part of Trionfi, a musical triptych that also includes Catulli Carmina and Trionfo di Afrodite. The first and last movements of the piece are called ""Fortuna Imperatrix Mundi"" and start with the very well known ""O Fortuna"".",Composition,"music,composition"
jay_treaty,"The Treaty of Amity, Commerce, and Navigation, Between His Britannic Majesty and The United States of America, commonly known as the Jay Treaty, and also as Jay's Treaty, the British Treaty, and the Treaty of London of 1794, was a 1795 treaty between the United States and Great Britain that is credited with averting war, resolving issues remaining since the Treaty of Paris of 1783, and facilitating ten years of peaceful trade between the United States and Britain in the midst of the French Revolutionary Wars, which began in 1792.
The terms of the treaty were designed primarily by Secretary of the Treasury Alexander Hamilton, strongly supported by the chief negotiator John Jay, and supported by President George Washington. The treaty gained the primary American goals, which included the withdrawal of British Army units from pre-Revolutionary forts that it had failed to relinquish in the Northwest Territory of the United States. The parties agreed that disputes over wartime debts and the American–Canadian boundary were to be sent to arbitration—one of the first major uses of arbitration in diplomatic history.",,
nabucco,"Nabucco is an Italian-language opera in four acts composed in 1841 by Giuseppe Verdi to an Italian libretto by Temistocle Solera. The libretto is based on biblical stories from the Book of Jeremiah and the Book of Daniel and the 1836 play by Auguste Anicet-Bourgeois and Francis Cornue, although Antonio Cortese's ballet adaptation of the play, given at La Scala in 1836, was a more important source for Solera than the play itself. Under its original name of Nabucodonosor, the opera was first performed at La Scala in Milan on 9 March 1842.
Nabucco is the opera which is considered to have permanently established Verdi's reputation as a composer. He commented that ""this is the opera with which my artistic career really begins. And though I had many difficulties to fight against, it is certain that Nabucco was born under a lucky star.""
It follows the plight of the Jews as they are assaulted, conquered, and subsequently exiled from their homeland by the Babylonian King Nabucco. The historical events are used as background for a romantic and political plot.",Opera,"opera,opera"
clovis_culture,"The Clovis culture is a prehistoric Paleo-Indian culture, named after distinct stone tools found at sites near Clovis, New Mexico, in the 1920s and 1930s. The Clovis culture appears around 11,500–11,000 uncal RCYBP, at the end of the last glacial period, characterized by the manufacture of ""Clovis points"" and distinctive bone and ivory tools. Archaeologists' most precise determinations at present suggest that this radiocarbon age is equal to roughly 13,200 to 12,900 calendar years ago. Clovis people are considered to be the ancestors of most of the indigenous cultures of the Americas.
The Clovis culture was replaced by several more localized regional cultures from the time of the Younger Dryas cold climate period onward, about 9,000 years ago. Post-Clovis cultures include the Folsom tradition, Gainey, Suwannee-Simpson, Plainview-Goshen, Cumberland, and Redstone. Each of these is commonly thought to derive directly from Clovis, in some cases apparently differing only in the length of the fluting on their projectile points.",,
cno_cycle,"The CNO cycle is one of the two sets of fusion reactions by which stars convert hydrogen to helium, the other being the proton–proton chain reaction. Unlike the latter, the CNO cycle is a catalytic cycle. Theoretical models show that the CNO cycle is the dominant source of energy in stars more massive than about 1.3 times the mass of the Sun. The proton–proton chain is more important in stars the mass of the Sun or less. This difference stems from temperature dependency differences between the two reactions; pp-chain reactions start occurring at temperatures around 4×10^6 K, making it the dominant energy source in smaller stars. A self-maintaining CNO chain starts occurring at approximately 15 MK, but its energy output rises much more rapidly with increasing temperatures. At approximately 17 MK, the CNO cycle starts becoming the dominant source of energy. The Sun has a core temperature of around 15.7 MK, and only 1.7% of 4He nuclei being produced in the Sun are born in the CNO cycle. The CNO-I process was independently proposed by Carl von Weizsäcker and Hans Bethe in 1938 and 1939, respectively.",,
uranus_(mythology),"Uranus was the primal Greek god personifying the sky. His equivalent in Roman mythology was Caelus. In Ancient Greek literature, Uranus or Father Sky was the son and husband of Gaia, Mother Earth. According to Hesiod's Theogony, Uranus was conceived by Gaia alone, but other sources cite Aether as his father. Uranus and Gaia were the parents of the first generation of Titans, and the ancestors of most of the Greek gods, but no cult addressed directly to Uranus survived into Classical times, and Uranus does not appear among the usual themes of Greek painted pottery. Elemental Earth, Sky and Styx might be joined, however, in a solemn invocation in Homeric epic.",Deity,"religion,deity"
balder_(comics),"Balder the Brave is a fictional character that appears in comic books published by Marvel Comics, based on the deity Baldr from Norse mythology.",Fictional Character,"fictional universe,fictional character"
eritrea,"Eritrea, officially the State of Eritrea, is a country in the Horn of Africa. With its capital at Asmara, it is bordered by Sudan to the west, Ethiopia in the south, and Djibouti in the southeast. The northeastern and eastern parts of Eritrea have an extensive coastline along the Red Sea, across from Saudi Arabia and Yemen. The nation has a total area of approximately 117,600 km², and includes the Dahlak Archipelago and several of the Hanish Islands. Its name Eritrea is based on the Ancient Greek name for the Red Sea, which was first adopted for Italian Eritrea in 1890.
Eritrea is a multi-ethnic country, with nine recognized ethnic groups. It has a population of around six million inhabitants. Most residents speak Afroasiatic languages, either of the Semitic or Cushitic branches. Among these communities, the Tigray-Tigrinya people make up about 55% of the population, with the Tigre people constituting around 30% of inhabitants. In addition, there are a number of Nilo-Saharan-speaking Nilotic ethnic minorities. Most people in the territory adhere to Christianity or Islam.",Country,"location,country"
